category,subcategory,item,details,points,title,notes
ポイント獲得方法,ポイントLv,Lv1,,5,,
ポイント獲得方法,ポイントLv,Lv2,,10,,
ポイント獲得方法,ポイントLv,Lv3,,20,,
ポイント獲得方法,ポイントLv,Lv4,,50,,
ポイント獲得方法,ポイントLv,Lv5,,100,,
ポイント獲得方法,その他,チケット,,5,,
ポイント獲得方法,その他,FA・キャンバス,3枚,5,,
ポイント獲得方法,その他,作曲,,5,,
サポ返しカタログ,ものをあげる,お手紙,,5,,
サポ返しカタログ,ものをあげる,ボイス,,5,,
サポ返しカタログ,ものをあげる,FA,,20,,
サポ返しカタログ,枠ジャック,1時間,,5,CM入ります,一日一回使用可能
サポ返しカタログ,枠ジャック,2時間,,20,熱弁者,一日一回使用可能
サポ返しカタログ,枠ジャック,5時間,,50,布教者,一日一回使用可能
サポ返しカタログ,枠ジャック,12時間,,100,さんジャック,一日一回使用可能
サポ返しカタログ,さんそんに強制的に何かさせる,おすすめの歌を練習させる,,5,プロデューサー,
サポ返しカタログ,さんそんに強制的に何かさせる,おすすめのアニメを視聴させる,,30,アニオタの鑑,
サポ返しカタログ,さんそんに強制的に何かさせる,おすすめの映画を視聴させる,,30,映画マニア,
サポ返しカタログ,さんそんに強制的に何かさせる,おすすめのドラマを視聴させる,,30,陽気なドラマー,
サポ返しカタログ,さんそんに強制的に何かさせる,おすすめの漫画を読ませる,,30,漫画の伝道者,
サポ返しカタログ,さんそんに強制的に何かさせる,おすすめの本を読ませる,,30,本の虫,
サポ返しカタログ,さんそんに強制的に何かさせる,おすすめのその他,,30,マニアック,その他は、ものによってはお断りします / シリーズ物は応相談
サポ返しカタログ,さんそんの名前を変える,一日,,5,いたずら者,永久が購入された時点でこのサポ返しは消える
サポ返しカタログ,さんそんの名前を変える,一週間,,15,宣伝屋,永久が購入された時点でこのサポ返しは消える
サポ返しカタログ,さんそんの名前を変える,一か月,,50,処刑人,永久が購入された時点でこのサポ返しは消える
サポ返しカタログ,さんそんの名前を変える,永久,,100,名付け親,永久が購入された時点でこのサポ返しは消える
